Card ID,Created By,Space Posted in,Date of Card Posting,Time of Card Posting,Card Type,Card Title,Card Description,Card Body,Total Reach,Number of Views,Number of Likes,Number of Shares(Inside App),Number of Shares(Outside App),Number of Comments,Number of Upvotes on Comments,Number of Saves,Number of Reports,Option A(Poll Cards Only),Option B(Poll Cards Only),Option C(Poll Cards Only),Mission Date,Mission  Time,Mission  Format,Mission Link,Mission Link Clicks,Length of Video (seconds),Watch Time for Video Cards
,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Koustubh Kulkarni,Space Warrior Fellowship,18-08-2021,20:02:29,vertical,"WHS 02: 
COMMUNITIES FOR BRANDS.",Here's when we learnt how brands increase customers loyalty.,"<p>The second WHS was all about the world of brands &amp; how to crack community building by the core of it.</p><p>Community building follows a simple formula:&nbsp; <b>90-9-1</b>.</p><p>🛸 90% are passive participants</p><p>🕹️ 9% respond</p><p>🎯 1% create</p><p>Then we look into how to start your group on a collaborative path</p><p><br></p><blockquote><b>Purposeful, Participatory, Repeatable</b></blockquote><p>🌈 Make it purposeful</p><p>⛳ Make it participatory</p><p>🚀 Make it repeatable</p><p><br></p><blockquote><b>Marketing v/s Community building</b></blockquote><p>Marketing views people as an aggregate and seeks to communicate with them as a whole, efficiently.</p><p>Community-focused communications view people as individuals and aim to delight the few then extrapolate that experience to others.</p><p><br></p><blockquote><i><b>For a brand, their customers are their community. But the level of belonging and commitment are different to different people. From founders to consumers… they are all part of the community, but differ in sense of belonging.”David Spinks, (Founder of CMX)</b></i></blockquote><p><br></p><blockquote><b>Why should brands build community?</b></blockquote><p>A strong brand community can:</p><p>- Increase customer loyalty</p><p>- Lower marketing costs</p><p>- Authenticate brand meanings</p><p>- Yield an influx of ideas to grow the business</p><p>Through commitment, engagement, and support, companies can cultivate brand communities that deliver powerful returns. When a community is done right, the benefits are irrefutable.</p><p><br></p><p><b><i>Which brands according to you have got the community-building aspect figured out? Let us know know in comments below!</i></b></p><br><br><br><br>",REACH NOW ADDED,90,42,0,OUTSIDE SHARE COUNTER NOW ADDED,8,18,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Koustubh Kulkarni,Space Warrior Fellowship,19-08-2021,12:10:40,vertical,Space Warriors Assemble!,The Comment with 0 upvotes will have a card dedicated to that Space Warrior,<p><h4>It's time to see how persistent you really are?👀</h4><br></p><br><br><br><br>,REACH NOW ADDED,783,89,0,OUTSIDE SHARE COUNTER NOW ADDED,135,312,2,1,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Koustubh Kulkarni,Space Warrior Fellowship,28-08-2021,17:58:35,vertical,My MoU Story 01: Confirming My Convincing Skills,Imagine the first college visit: A one on meeting with the principal.,"<blockquote><p>My grandfather always told everyone that I have an amazing convincing skill and if&nbsp; I wanted I could convince anyone and everyone. I never believed it so Today was going to be the first test of that skill I was told I have because I had to convince my management.&nbsp;</p></blockquote><p>When I say my management I mean a campus in the state of Jharkhand. If you ask me people here are a bit orthodox so change is out of the question at times. But I can never give up without trying because then my anxiety will kill me. So I gathered my courage and went for it.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-28_170102.max-1440x900.jpg"" data-filename="""" class=""note-float-left"" style=""width: 352.19px; float: left;"">I thought of getting it signed by my teacher first and then go to my principal so I asked my cousins who was the most chill teacher on the campus and I wanted to approach them first. So they told me that our HOD was an amazingly chill person and he could definitely sign my MOU. But, ""thanks"" to the pandemic I didn't even know where his cabin was. He stays in the department of commerce but where was it??</p><blockquote>I had never been to my college before, I didn't know a single office or class in there. After searching the entire college for half an hour and not finding a thing I thought of an amazing idea 'to ask someone'.</blockquote><p>So I asked an employee and to my shame, it was right behind me. I went up to the cabin and found out it was locked. The peon told me that he was in a meeting and will be there for another two hours. My heart sank, I couldn't wait there for two hours it was the&nbsp;<b><i>last day of exams and the college would close after this till further notice so it was my last chance.</i></b></p><p></p><blockquote>Thus I decided to march indirectly to my principal for the permission.</blockquote><p>I went up to him, presented my pitch beautifully and I could say he was impressed. As I was about to finish the last line<b>&nbsp;I mentioned about the Summit</b>&nbsp;<b>and his face dropped.</b></p><p><i>He returned me my MOU and said this is not what we do in our college and asked me to go see the vice principal for he is responsible for the cultural department.</i></p><h4>I knew it was going to be difficult after this because if my principal wasn't convinced my Vice Principal wouldn't either.</h4><blockquote>So I walked up to my Vice Principal's cabin with a bit of disappointment. But then I remembered my grandfather's words who always says that my smile could convince anyone so I smiled as wide as I could and entered his cabin.</blockquote><p></p><p>I stuttered a bit in the beginning but then I gathered myself and presented everything that I had prepared. I told him how Under 25 was an organisation that organised on campus and off-campus events and it would help us in various skills like communication, culture building, leadership and many other. I also told him about the amazing speakers we get to learn from. I showed him the MOU and mentioned all the things that were written in it.</p><p></p><blockquote><b><i>I expressed <u>how badly</u>&nbsp;I wanted to take part in it.</i></b></blockquote><p></p><h4>To my surprise, he got convinced.</h4><h4>He just asked me&nbsp;<i>two questions:</i></h4><h4>Where the program would be held for the rest of the 10 months and second will it affect my studies?</h4><p>- I told him that the program is now happening online and the Summit will be held after 10 months based on my performance and also that the engagement in this didn't require much of my time and that the Weekly Hang Sesh are held on Saturdays for an hour.</p><p></p><blockquote>He agreed and signed the MOU he also signed up to be the faculty advisor. I thanked him and left his cabin.</blockquote><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-28_172612.max-1440x900.jpg"" data-filename="""" style=""width: 176.095px;""><br><br><i><b>I couldn't believe I had done it.</b></i>&nbsp;I sent a picture of the signed MOU to Keerthan and Kanishka my Student Culture Team and also to everyone I knew in the fellowship just to confirm that I had actually done it and was not dreaming. After 4 assurance calls and one final assurance call from Keerthan, I believed that I had done it and could leave the college only then.&nbsp;</p><p></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-28_173002.max-1440x900.jpg"" data-filename="""" style=""width: 352.19px;""><br><br></p><blockquote>Well in the end I realised that maybe my grandfather was right and I shouldn't doubt him and also that a smile could convince anyone and everyone.</blockquote><h3>Article by: Ritika Modi</h3><h4><h4>Space Warrior at St. Xavier's College Ranchi.</h4></h4><p></p><p></p><p></p><br><br><br><br>",REACH NOW ADDED,381,77,2,OUTSIDE SHARE COUNTER NOW ADDED,54,86,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Koustubh Kulkarni,Space Warrior Fellowship,30-08-2021,18:58:22,vertical,MoU Story 02: From being a Rebel to Teacher's Star,I made a new friend outside the legal advisor's cabin & then got it signed!,"<p><p>When it comes to management, initially I thought it would be an easy go ride for me because I had already brought in one club before. Unfortunately, my favourite teacher left college - this brought me in a tough spot to get the MoU signed. BUT I got up, went to the HoD, just gave him a whole presentation about Under 25 for a half-hour. At the end of it, he had only one question for me, ""Will our department get a plus point in the college trophy?"", I was like 'yes sir we will definitely get an extra point.'</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-30_184628.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br></p><p>That's all he needed to hear and told me to get a sign from the required faculty.</p><blockquote> Here comes the tough part - I was the one student who never attended any lectures and even if I did, the teachers used to kick me out plus my favourite teacher was not there. </blockquote><p><h4><span style=""font-weight: normal;""><i>I ended up talking to more than four teachers about signing the MoU but they didn't as I was the rebel. This was all done on Friday 20th August in one day. I just got my HoD's sign. It was easy, just talk to him well and the assurance of winning the trophy got that sign.</i></span></h4><blockquote>Now comes Monday 23rd of August, and to be honest, I had no hopes that any teacher will sign it but still, I went to college, was just roaming around HoD's cabin because I thought he would help me to get a teacher's signature but my luck got in chance and met two of my seniors, they saw me a bit tensed so they asked what's the problem?</blockquote><p> I told them I need a faculty to sign on the MoU and they suggested I go to Talhar sir - the management faculty from our Department of Computers.</p><h4> He asked three questions: </h4><p>- How did you get selected in Under 25?</p><p>- What is the benefit of it?</p><p>- What do you want from my side?</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-30_185041.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br><blockquote>I answered them all, how I got selected and how my friend from MIT helped me get this chance, and all the perks.</blockquote></p><p><blockquote> He was shocked when I told him they provide a chance to build a community. It was better than doing nothing on campus, and for this answer, he was impressed and told me, ""I will support you but tell me what I need to do?"" </blockquote></p><p><blockquote><b>""<i>Just want your support"", was my answer.</i></b> *Mic Drop*</blockquote><img src=""https://under25app.s3.amazonaws.com/images/2021-08-30_185321.max-1440x900.jpg"" style=""width: 100%;"" data-filename=""""><br><br>He agreed and told me to go directly to meet Principal Sir. So, I went to the principal, had a talk with him formally, gave him a brief intro, and then he told me to drop the papers here and that he will read them and sign on Wednesday. I was like ""ok Sir will collect on that day"", I had no choice otherwise. But when I went on Wednesday, Principal sir sent the papers to the legal advisor of our college he said I will read it and give it to you tomorrow.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-30_185410.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br><br>I was feeling scared at this moment, will he sign it or not but was hung on with the faith. I went on Thursday, he still hadn't read it and told me to come the next day. So, I went on Friday but that day before speaking to the Principal, I went to Talhar sir, to get him to speak to the legal advisor so I can get an early paper sign. He had a call and told me to go in half-hour, he will give me the paper. I went near the cabin after half an hour but he had the same answer, </p><blockquote>""I am still reading when I am done I will call you till then sit outside."" </blockquote><p><b>And then I Sat outside his cabin and waited till 5 PM outside the legal advisor because I wanted to get it signed no matter what.</b></p><p><p><i>While I was waiting there many students came and went, I even made a new friend outside the legal advisor cabin, and then finally I got it signed</i>.</p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-30_185550.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br></p><p>The happiness was so profound that I started dancing in the principal's cabin.</p></p><blockquote>The learning I can say is to ""trust the process, have patience, don't give up until the end, ask questions and ask for help"", there will be people always there to help you.</blockquote></p><h3>Article By Neha Agarwal,</h3><h4>Space Warrior at AISSMSCOE /All India Shri Shivaji Memorial Society College of Engineering Pune</h4></p><p><br><br><br><br></p><p><p><p><br><br></p><br></p><br></p><br><br><br><br>",REACH NOW ADDED,278,54,0,OUTSIDE SHARE COUNTER NOW ADDED,46,62,0,0,,,,,,,,TO BE ADDED,,TO BE ADDED
,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,Koustubh Kulkarni,Space Warrior Fellowship,31-08-2021,17:30:59,vertical,"My MoU Story 03: 
Tension v/s smile",It's a mind full of confusion and the coolest staff of my college.,"<blockquote><p>It was a lazy day, with the clock almost hitting 9 in the morning. It was raining, while I checked my emails and messages as it poured heavily outside.</p></blockquote><p>As soon as I got my reminder, <b><i>I called up my class teacher Mrs Soumya regarding a confusion with my assignments, but as the call came to it's end, I subtly pitched Under 25 to her.</i></b></p><p>After a long conversation, Mrs Soumya then connected me to the H.O.D Mr Roji Thomas, who turned out to be very polite and understanding of everything I was to say. </p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-31_171655.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br>Once I convinced him, my next challenge was to convince my Principal Fr.Joshy Cheeramkuzhy CMI.<br><br>With immense hope, I presented to him, everything that I had learnt about Under 25 over the last 3 months. <b><i>It was a massive relief when he accepted my proposal and permitted me.</i></b></p><p><img src=""https://under25app.s3.amazonaws.com/images/2021-08-31_172146.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br></p><blockquote>A myriad of emotions overtook me. I've never been so happy before this moment!</blockquote><p></p><p></p><p>This day was not only about getting the MoU signed, but it was about me taking the next step in my college life. This day made me feel like I was someone who was capable of doing something great!</p><p>I am definitely going to make a change with this newfound confidence in me.</p><p><i><b>It's noon and I went back to my home.</b></i></p><p></p><div><img src=""https://under25app.s3.amazonaws.com/images/2021-08-31_172343.max-1440x900.jpg"" style=""width: 352.19px;"" data-filename=""""><br><br><b><i>A war between tension and relief</i></b> -&nbsp; is the perfect description of what went down today.<br><br><h3>Article by Philip Sunny</h3><h4>Space Warrior at Kristu Jyoti College of Management and Technology</h4><br><br><b><i><br></i></b></div><p><br><br><br></p><br><br><br><br>",REACH NOW ADDED,171,43,0,OUTSIDE SHARE COUNTER NOW ADDED,12,12,1,0,,,,,,,,TO BE ADDED,,TO BE ADDED
